country,year,status,IF,life_expectancy,adult_mortality,infant_deaths,alcohol,percentage_expenditure,hepatitis_B,measles,BMI,under_five_deaths,polio,total_expenditure,diphtheria,HIV_AIDS,GDP,population,thinness_1_to_19_years,thinness_5_to_9_years,income_composition_of_resources,schooling
Cabo Verde,2010,Developing,High,72.5,123,0,4.75,286.89,98,0,27.5,0,99,4.83,99,0.4,3312.83,52384,7.4,7.4,0.627,12.7
Cabo Verde,2009,Developing,High,72.4,124,0,4.45,339.98,98,0,26.8,0,99,4.24,99,0.4,3444.56,496963,7.6,7.6,0.621,12.4
Cabo Verde,2008,Developing,High,72.4,124,0,4.16,360.62,98,0,26.2,0,99,3.96,99,0.4,3638.96,491723,7.8,7.8,0.615,12.2
Cabo Verde,2007,Developing,High,72.3,126,0,5.28,345.46,96,0,25.5,0,98,4.3,98,0.6,3112.29,486438,8.1,8,0.602,11.9
Cabo Verde,2006,Developing,High,72.1,129,0,4.25,26.45,95,0,24.9,0,97,5.11,96,0.6,234.29,48795,8.3,8.3,0.596,11.9
Cabo Verde,2005,Developing,High,71.8,134,0,4.26,3.35,93,0,24.3,0,95,4.86,95,0.8,248.13,474567,8.5,8.5,0.582,11.2
Cabo Verde,2004,Developing,High,71.4,14,0,4.19,240.14,91,0,23.7,0,94,5.6,93,0.8,1976.46,467664,8.7,8.7,0.574,11.1
Colombia,2014,Developing,High,74.6,144,11,4.38,1435.49,9,0,57.2,12,9,7.2,9,0.1,7913.38,47791911,2.1,1.9,0.72,13.6
Colombia,2013,Developing,High,74.4,145,11,4.41,15.16,91,1,56.4,13,91,6.84,91,0.1,83.59,47342981,2.1,1.9,0.712,13.3
Colombia,2012,Developing,High,74.3,143,11,4.44,1487.9,92,1,55.7,13,91,6.93,91,0.1,7884.98,46881475,2.1,1.9,0.707,13.2
Colombia,2011,Developing,High,74.2,144,12,4.37,184.31,85,6,55,14,85,6.64,85,0.1,7227.74,4646646,2.2,2,0.7,13
Colombia,2010,Developing,High,73.6,15,12,4.28,113.24,88,0,54.2,15,88,6.76,88,0.1,625.66,4591897,2.2,2,0.695,12.8
Colombia,2009,Developing,High,73.6,15,13,4.34,941.65,92,0,53.5,15,92,7.1,92,0.1,5148.42,45416181,2.2,2,0.691,12.4
Colombia,2008,Developing,High,73.5,146,14,4.45,978.07,92,0,52.8,16,92,6.62,92,0.1,5433.72,4491544,2.3,2,0.683,12.2
Colombia,2007,Developing,High,73.5,144,14,4.66,780.59,93,0,52,17,93,6.25,93,0.1,4674.22,44374572,2.3,2.1,0.675,11.9
Colombia,2006,Developing,High,73.1,147,15,4.53,62.44,93,0,51.3,17,94,6.11,93,0.1,379.79,43835722,2.3,2.1,0.669,11.5
Colombia,2005,Developing,High,73.1,144,15,4.38,531.98,93,0,5.5,18,93,5.82,93,0.1,3386.26,43285634,2.4,2.1,0.658,11.1
Colombia,2004,Developing,High,72.8,148,16,4.26,42.18,89,0,49.8,19,89,5.37,89,0.1,274.25,42724163,2.4,2.2,0.658,11.3
Comoros,2014,Developing,Low,63.2,23,1,0.01,73.87,88,0,23.7,2,87,6.75,87,0.8,852.95,759385,6.8,6.6,0.497,11.1
Comoros,2013,Developing,Low,62.9,233,1,0.01,61.57,88,0,23.2,2,85,6.51,87,0.8,834.34,7415,6.8,6.6,0.49,10.9
Comoros,2012,Developing,Low,62.5,237,2,0.01,78.39,89,1,22.6,2,85,7.11,86,0.8,788.63,723868,6.9,6.7,0.484,10.8
Comoros,2011,Developing,Low,62.2,241,2,0.12,59.66,83,3,22.1,2,85,6.1,83,0.2,829.76,76569,7,6.8,0.479,10.6
Comoros,2010,Developing,Low,61.8,246,2,0.15,47.3,74,0,21.6,2,82,5.82,74,0.1,769.17,689692,7.1,6.9,0.476,10.5
Comoros,2009,Developing,Low,61.3,251,2,0.17,56.99,83,1,21.1,2,84,3.82,83,0.1,778.55,673252,7.2,7,0.465,10.3
Comoros,2008,Developing,Low,61,255,2,0.12,93.37,81,0,2.6,2,81,5.13,81,0.1,795.98,657229,7.2,7.1,0.461,10.2
Comoros,2007,Developing,Low,66,259,2,0.16,9.09,75,0,2.1,2,75,4.93,75,0.1,72.76,64162,7.3,7.2,0.459,10
Comoros,2006,Developing,Low,63,262,2,0.25,77.03,69,85,19.6,2,69,4.57,69,0.1,648.39,626425,7.4,7.3,0.451,9.9
Comoros,2005,Developing,Low,60,266,2,0.24,69.97,68,912,19.2,2,67,4.32,68,0.1,621.93,611627,7.5,7.4,0.434,9.7
Comoros,2004,Developing,Low,59.8,269,2,0.27,7.21,77,0,18.8,2,73,3.96,76,0.1,616.42,597228,7.5,7.5,0,9.5
Costa Rica,2014,Developing,High,79.5,96,1,3.45,384.51,91,1,59.5,1,91,9.31,91,0.1,1647.44,4757575,1.7,1.7,0.768,13.9
Costa Rica,2013,Developing,High,79.4,96,1,3.42,386.14,94,0,58.5,1,95,9.47,95,0.1,1569.67,47641,1.7,1.7,0.762,13.7
Costa Rica,2012,Developing,High,79.2,97,1,3.34,2568.24,91,0,57.5,1,9,9.56,91,0.1,9985.37,4654122,1.8,1.7,0.758,13.6
Costa Rica,2011,Developing,High,79,98,1,3.41,2429.85,84,0,56.5,1,82,9.73,85,0.1,9186.6,46474,1.8,1.7,0.752,13.4
Costa Rica,2010,Developing,High,78.1,16,1,3.58,2377.01,89,0,55.5,1,93,9.66,88,0.1,8199.41,454528,1.8,1.8,0.749,13.3
Costa Rica,2009,Developing,High,79.2,96,1,4.07,24.89,87,0,54.4,1,8,9.69,86,0.1,689.4,4488263,1.9,1.8,0.747,13.1
Costa Rica,2008,Developing,High,78.9,99,1,4.22,1859.1,89,0,53.4,1,89,9.1,9,0.1,6911.14,442958,1.9,1.8,0.74,12.9
Costa Rica,2007,Developing,High,78.9,93,1,4.2,150.89,89,0,52.4,1,89,8.37,89,0.1,612.62,4369469,1.9,1.9,0.734,12.8
Costa Rica,2006,Developing,High,78,16,1,4.15,1185.41,88,0,51.4,1,89,7.82,89,0.1,5245.19,438794,2,1.9,0.727,12.6
Costa Rica,2005,Developing,High,78.6,97,1,4.1,1002.83,9,1,5.3,1,91,7.74,91,0.1,4697.11,4247841,2,2,0.723,12.4
Costa Rica,2004,Developing,High,77.7,12,1,4.09,1043.11,89,0,49.3,1,9,7.8,9,0.1,4425.57,418738,2.1,2,0.719,12.2
El Salvador,2014,Developing,High,73.3,181,2,2.52,665.73,93,0,55.4,2,93,6.77,94,0.2,3988.77,6281189,1.6,1.6,0.676,13.2
El Salvador,2013,Developing,High,73,184,2,2.42,653.69,92,0,54.7,2,92,6.95,92,0.2,3895.66,625777,1.6,1.6,0.675,13.2
El Salvador,2012,Developing,High,73,181,2,2.48,591.78,92,0,54.1,2,93,6.7,92,0.3,3827.79,6221246,1.6,1.6,0.67,13.2
El Salvador,2011,Developing,High,72,197,2,2.37,549.28,89,0,53.4,2,9,6.81,89,0.3,3736.59,619256,1.7,1.6,0.666,13
El Salvador,2010,Developing,High,72,191,2,2.36,469.39,89,0,52.8,2,89,6.91,89,0.3,3474.39,6164626,1.7,1.6,0.662,12.9
El Salvador,2009,Developing,High,71.4,23,2,2.55,416.43,91,0,52.1,2,91,6.83,91,0.3,3366.48,6137276,1.7,1.6,0.662,12.8
El Salvador,2008,Developing,High,71.7,194,2,2.68,53.96,98,0,51.4,3,98,6.21,98,0.3,357.35,61131,1.8,1.7,0.659,13.4
El Salvador,2007,Developing,Low,71.2,23,2,2.83,52.3,99,0,5.8,3,99,6.32,99,0.3,334.84,683475,1.8,1.7,0.657,12.9
El Salvador,2006,Developing,High,75,211,3,2.77,57.75,96,0,5.1,3,96,6.68,96,0.2,362.95,656478,1.8,1.7,0.651,12.9
El Salvador,2005,Developing,Low,71,213,3,2.77,440.6,89,0,49.4,3,89,7.19,89,0.2,2835.28,628961,1.9,1.8,0.644,12.7
El Salvador,2004,Developing,Low,70,215,3,2.9,398.61,9,0,48.6,3,9,7.3,9,0.3,2632.8,6775,1.9,1.8,0.636,12.4
France,2014,Developing,High,82.2,79,3,11.5,6739.68,83,267,62,3,98,11.54,98,0.1,42955.24,66331957,0.6,0.6,0.89,16.2
France,2013,Developing,High,82,81,3,11.1,6646.95,74,272,61.6,3,99,11.56,99,0.1,42554.12,6599857,0.6,0.6,0.887,16.2
France,2012,Developing,High,81.5,83,3,11.5,751.38,78,0,61.1,3,99,11.44,99,0.1,4838.24,6565979,0.6,0.6,0.885,16.1
France,2011,Developing,High,81.7,83,3,11.8,683.92,74,14949,6.6,3,99,11.33,99,0.1,4381.29,65342776,0.6,0.6,0.882,16.1
France,2010,Developing,High,81.3,86,3,11.7,72.8,65,5048,6.1,3,99,11.2,99,0.1,473.34,6527512,0.6,0.6,0.879,16
France,2009,Developing,High,81.1,88,3,11.8,6415.36,51,1541,59.6,3,98,11.28,98,0.1,41631.13,647744,0.6,0.6,0.879,16
France,2008,Developing,High,89,88,3,11.9,7002.79,47,604,59.1,3,98,1.57,98,0.1,45413.66,6437499,0.6,0.6,0.877,16.1
France,2007,Developing,High,89,89,3,12.2,64.74,42,39,58.6,3,99,1.45,98,0.1,416.58,6416229,0.6,0.6,0.873,16.1
France,2006,Developing,High,86,92,3,12.4,5689.99,39,40,58,4,99,1.53,99,0.1,36544.59,63621376,0.6,0.6,0.87,16.1
France,2005,Developing,High,81,93,3,12.2,5451.7,35,36,57.5,4,98,1.6,98,0.1,34879.73,63179356,0.6,0.6,0.86,15.5
France,2004,Developing,High,82,94,3,13.18,5291.23,35,4448,57,4,99,1.53,98,0.1,33874.74,6274897,0.6,0.6,0.857,15.5
Germany,2014,Developed,High,89,69,2,11.03,941.76,88,443,61.9,3,94,11.3,95,0.1,4792.65,89825,1.1,1.1,0.92,17
Germany,2013,Developed,High,86,71,2,10.94,895.88,88,1771,61.4,3,94,11.16,95,0.1,4653.91,864565,1.1,1.1,0.919,16.9
Germany,2012,Developed,High,86,71,2,11.18,839.91,88,166,6.9,3,94,1.99,95,0.1,4465.25,8425823,1.1,1.1,0.916,16.9
Germany,2011,Developed,High,85,74,2,11.2,869.79,88,1607,6.4,3,94,1.93,95,0.1,4681.33,8274983,1.1,1.1,0.912,16.8
Germany,2010,Developed,High,81,76,2,11.2,7584.08,88,780,59.9,3,94,11.25,95,0.1,41785.56,8177693,1.1,1.1,0.907,16.7
Germany,2009,Developed,High,80,79,2,11.22,7641.27,88,574,59.5,3,95,11.4,96,0.1,41732.77,819237,1.1,1.1,0.906,16.7
Germany,2008,Developed,High,79.9,8,2,11.36,8285.26,87,917,59,3,95,1.39,96,0.1,45699.2,821197,1.1,1.1,0.903,16.6
Germany,2007,Developed,High,79.8,82,3,11.5,7777.56,86,567,58.5,3,95,1.18,96,0.1,41814.82,82266372,1.1,1.1,0.898,16.6
Germany,2006,Developed,High,79.6,84,3,11.76,6407.54,87,2307,58,3,94,1.34,96,0.1,36447.87,82376451,1.1,1.1,0.892,16.5
Germany,2005,Developed,High,79.2,85,3,11.67,6012.93,9,778,57.6,3,95,1.52,96,0.1,34696.63,82469422,1.1,1.1,0.884,16.4
Germany,2004,Developed,High,79.1,86,3,11.83,5842.37,88,121,57.1,3,96,1.37,96,0.1,34165.93,8251626,1.1,1.1,0.877,16.4
Ghana,2014,Developing,Low,62.1,253,37,0.01,97.68,98,124,28,54,93,3.56,98,0.8,1432.23,26962563,6.4,6.3,0.576,11.7
Ghana,2013,Developing,Low,61.9,254,38,0.01,28.67,9,319,27.3,55,91,4.63,9,0.9,1814.49,26346251,6.6,6.4,0.57,11.5
Ghana,2012,Developing,Low,61.6,257,39,0.01,151.9,92,1613,26.7,56,91,4.79,92,0.9,1629.82,2573349,6.7,6.6,0.563,11.2
Ghana,2011,Developing,Low,61.2,263,40,1.64,225.22,91,120,26.1,58,91,4.81,91,1.3,1574.98,25121796,6.9,6.8,0.554,10.9
Ghana,2010,Developing,Low,69,267,40,1.69,195.98,94,641,25.5,59,94,5.33,94,1.9,1312.68,2451214,7.1,7,0.547,10.5
Ghana,2009,Developing,Low,66,271,41,1.76,30.72,94,101,24.9,60,94,5.17,94,2.1,186.77,2393831,7.3,7.2,0.542,10.4
Ghana,2008,Developing,Low,63,275,41,1.78,161.01,93,82,24.2,61,92,4.85,93,2.2,1224.42,2329864,7.5,7.4,0.53,9.8
Ghana,2007,Developing,Low,59.9,28,41,1.25,3.18,94,6,23.6,61,94,5.3,94,2.6,19.69,227212,7.7,7.6,0.519,9.1
Ghana,2006,Developing,Low,59.4,288,41,1.7,129.03,84,420,23,62,84,4.64,84,2.9,922.94,22113425,7.9,7.9,0.51,8.7
Ghana,2005,Developing,Low,58.9,296,41,1.5,78.71,84,435,22.4,62,85,4.51,84,3.1,498.17,215429,8.1,8.1,0.499,8.1
Ghana,2004,Developing,Low,58.3,34,41,1.46,53.24,8,60,21.8,62,81,3.96,8,3.2,423.19,2986536,8.4,8.3,0.491,7.7
Greece,2014,Developing,High,88,73,0,7.53,2163.04,96,1,66,0,99,8.8,99,0.1,21673.78,1892413,0.8,0.7,0.862,17.2
Greece,2013,Developing,High,86,74,0,7.46,2183.11,98,3,65.4,0,99,9.26,99,0.1,21874.82,1965211,0.8,0.7,0.86,17.1
Greece,2012,Developing,High,84,76,0,8.2,2528.99,98,3,64.9,0,99,9.24,99,0.1,22242.68,114511,0.8,0.7,0.858,16.8
Greece,2011,Developing,High,85,76,0,8.02,3192.89,95,40,64.3,0,99,9.77,99,0.1,25916.29,1114899,0.8,0.7,0.86,16.7
Greece,2010,Developing,High,83,76,0,9,3189.75,95,149,63.7,0,99,9.18,99,0.1,26917.76,11121341,0.8,0.7,0.859,16.4
Greece,2009,Developing,High,80,78,0,9.08,372.69,95,2,63.1,0,99,9.76,99,0.1,2971.97,111717,0.8,0.7,0.857,16.2
Greece,2008,Developing,High,79.9,77,0,9.51,3682.89,95,1,62.4,0,99,9.76,99,0.1,31997.28,1177841,0.8,0.7,0.853,15.9
Greece,2007,Developing,High,79.4,8,0,9.67,3632.24,95,2,61.8,0,99,9.41,99,0.1,28827.33,1148473,0.8,0.7,0.855,16.4
Greece,2006,Developing,High,79.7,77,0,9.42,318.58,94,0,61.2,1,98,9.34,98,0.1,2481.16,112362,0.8,0.7,0.85,16.3
Greece,2005,Developing,High,79.3,81,0,9.95,2785.14,93,122,6.5,1,96,9.36,96,0.1,22551.74,1987314,0.8,0.7,0.839,15.6
Greece,2004,Developing,High,79.2,81,0,9.56,287.61,92,1,59.9,1,95,8.3,95,0.1,21955.15,1955141,0.8,0.8,0.83,15.3
Guyana,2014,Developing,Low,66,217,0,7.64,4.14,98,0,45.9,1,97,5.25,98,0.3,43.82,763393,5.5,5.3,0.636,10.3
Guyana,2013,Developing,Low,65.9,218,0,7.56,345.9,98,0,45,1,98,5.1,98,0.3,3944.18,75881,5.5,5.3,0.633,10.3
Guyana,2012,Developing,Low,65.8,22,0,7.57,497.47,97,0,44.1,1,97,6.57,97,0.3,3785.94,75391,5.6,5.3,0.63,10.6
Guyana,2011,Developing,Low,65.6,229,0,7.56,536.23,93,0,43.2,1,93,6.8,93,0.4,3439.6,7491,5.6,5.3,0.624,10.3
Guyana,2010,Developing,Low,65.9,221,0,7.52,48.03,95,0,42.4,1,95,6.6,95,0.4,326.28,746556,5.6,5.3,0.618,10.2
Guyana,2009,Developing,Low,66.1,218,0,7.49,466.67,98,0,41.6,1,97,7.32,98,0.3,2716.35,745693,5.6,5.4,0.618,10.5
Guyana,2008,Developing,Low,66.3,218,1,7.32,493.33,93,0,4.9,1,93,7.46,93,0.8,2576.12,746314,5.6,5.4,0.618,10.7
Guyana,2007,Developing,Low,65.7,232,1,7.2,362.87,94,0,4.3,1,94,6.45,94,1.9,2327.58,747869,5.7,5.5,0.62,11.2
Guyana,2006,Developing,Low,65.2,24,1,7.04,170.63,93,0,39.6,1,92,4.67,93,1.1,1945.64,74961,5.7,5.5,0.622,11.7
Guyana,2005,Developing,Low,65,238,1,7.35,17.46,93,0,39,1,93,5.83,93,1.8,198.46,75946,5.7,5.5,0.619,11.4
Guyana,2004,Developing,Low,65.1,237,1,7.84,1.78,91,0,38.4,1,91,5.73,91,1.9,145.59,751652,5.8,5.6,0.613,11.2
India,2014,Developing,Low,68,184,957,3.07,86.52,79,79563,18.1,1200,84,4.69,85,0.2,1573.12,1293859294,26.8,27.4,0.607,11.6
India,2013,Developing,Low,67.6,187,1000,3.11,67.67,7,13822,17.5,1300,82,4.53,83,0.2,1452.2,127856227,26.8,27.5,0.599,11.5
India,2012,Developing,Low,67.3,19,1100,3.1,64.97,73,18668,17,1400,79,4.39,82,0.2,1446.99,126365852,26.9,27.6,0.59,11.3
India,2011,Developing,Low,66.8,193,1100,3,64.61,44,33634,16.4,1500,79,4.33,82,0.2,1461.67,124723629,26.9,27.7,0.58,10.8
India,2010,Developing,Low,66.4,196,1200,2.77,57.73,38,31458,15.9,1600,76,4.28,79,0.2,1345.77,12398691,27,27.8,0.569,10.4
India,2009,Developing,Low,66,2,1300,2.5,0.84,37,56188,15.4,1700,73,4.38,74,0.2,19.32,121427132,27,27.8,0.563,10.5
India,2008,Developing,Low,65.5,23,1300,1.93,43.03,29,44258,14.9,1800,69,4.34,7,0.3,991.48,119714696,27,27.9,0.556,10.2
India,2007,Developing,Low,65.2,26,1400,1.59,5.23,6,41144,14.4,1900,67,4.23,64,0.3,118.17,1179681239,27.1,28,0.546,9.9
India,2006,Developing,Low,64.8,28,1500,1.37,34.86,6,64185,13.9,2000,66,4.25,65,0.3,792.26,1161977719,27.1,28,0.536,9.7
India,2005,Developing,Low,64.4,211,1500,1.27,3.51,8,36711,13.5,2000,65,4.28,65,0.3,77.82,1144118674,27.2,28.1,0.526,9.4
India,2004,Developing,Low,64,214,1600,1.2,27.34,6,55443,13,2100,58,4.22,63,0.3,621.32,1126135777,27.2,28.2,0.518,9.2
Indonesia,2014,Developing,Low,68.9,179,119,0.09,200.07,78,12943,26.5,142,8,2.85,78,0.3,3491.6,255131116,1.4,1.2,0.682,12.9
Indonesia,2013,Developing,Low,68.7,181,124,0.09,22.85,85,8419,25.6,148,86,2.93,85,0.3,362.66,25232263,1.5,1.3,0.677,12.9
Indonesia,2012,Developing,Low,68.5,183,129,0.08,254.47,83,15489,24.7,154,84,2.9,83,0.3,3687.95,248883232,1.5,1.4,0.669,12.6
Indonesia,2011,Developing,Low,68.3,185,134,0.08,211.88,81,21893,23.8,161,81,2.71,81,0.3,3634.28,24577511,1.6,1.5,0.662,12.3
Indonesia,2010,Developing,Low,68.1,187,138,0.08,190.55,83,18869,22.9,167,82,2.74,81,0.3,3113.49,242524123,1.6,1.5,0.656,12.1
Indonesia,2009,Developing,Low,67.9,189,143,0.08,125.8,82,20818,22.1,174,85,2.83,78,0.3,2254.45,23934478,1.7,1.6,0.645,11.7
Indonesia,2008,Developing,Low,67.7,189,149,0.07,10.26,82,15369,21.3,181,83,2.81,77,0.2,216.53,236159276,1.7,1.7,0.641,11.7
Indonesia,2007,Developing,Low,67.5,19,154,0.06,102.63,76,19456,2.5,188,77,3.1,73,0.2,1855.94,232989141,1.8,1.7,0.638,11
Indonesia,2006,Developing,Low,67.3,191,159,0.06,72.02,66,20422,19.7,194,78,2.91,72,0.1,1586.25,22983822,1.8,1.8,0.632,10.9
Indonesia,2005,Developing,Low,67.2,19,163,0.06,5.38,65,15853,19,201,79,2.79,72,0.1,126.93,22671273,1.9,1.9,0.629,11.1
Indonesia,2004,Developing,Low,65.3,213,174,0.06,55.36,64,29171,18.2,237,79,2.37,71,0.1,1148.57,223614649,1.9,1.9,0.624,11
Iraq,2014,Developing,Low,67.9,199,32,0.01,43.52,62,1317,58.5,39,67,5.54,64,0.1,673.75,3568,5.3,5.1,0.658,10.1
Iraq,2013,Developing,Low,69.5,17,32,0.01,447.37,66,669,57.8,39,7,5.92,68,0.1,6925.22,33883145,5.3,5.1,0.659,10.3
Iraq,2012,Developing,High,76,147,32,0.01,429.66,61,15,57.2,39,7,5.26,69,0.1,6651.12,32776571,5.3,5.1,0.656,10.5
Iraq,2011,Developing,High,77,144,32,0.17,285.12,77,15,56.5,39,8,3.32,79,0.1,5854.61,3172753,5.3,5.1,0.649,10.4
Iraq,2010,Developing,High,76,145,32,0.19,21.82,72,492,55.8,39,74,3.82,74,0.1,452.75,376271,5.3,5.1,0.646,10.4
Iraq,2009,Developing,High,74,148,32,0.2,185.64,75,30328,55.2,39,78,4.65,78,0.1,3735.14,29894652,5.4,5.1,0.643,10.3
Iraq,2008,Developing,Low,69.3,167,32,0.17,192.16,66,5494,54.5,38,71,3.93,69,0.1,4521.32,29111417,5.4,5.1,0.638,10.3
Iraq,2007,Developing,Low,65.9,227,31,0.14,146.76,56,230,53.8,38,74,3.69,57,0.1,3129.22,2839433,5.4,5.1,0.636,10.2
Iraq,2006,Developing,Low,64.7,249,31,0.03,75.26,59,474,53.2,38,63,3,59,0.1,2351.81,27697912,5.4,5.1,0.631,10.2
Iraq,2005,Developing,Low,66.8,29,31,0.18,59.19,65,908,52.5,37,69,4.13,65,0.1,1849.64,278426,5.4,5.2,0.628,10.1
Iraq,2004,Developing,Low,67.2,21,30,0.32,44.12,62,9081,51.9,37,69,5.61,74,0.1,1391.82,2631669,5.4,5.2,0.603,9.8
Israel,2014,Developing,High,82.2,6,1,2.62,4348.34,97,6,64.6,1,95,7.81,95,0.1,37582.85,82157,1.2,1.1,0.895,16
Israel,2013,Developing,High,82.1,61,1,2.69,4279.9,97,50,64.2,1,96,7.89,96,0.1,36393.67,8595,1.2,1.1,0.891,15.9
Israel,2012,Developing,High,81.8,6,1,2.78,3830.18,97,211,63.8,1,94,7.73,94,0.1,32569.6,7915,1.2,1.1,0.889,15.9
Israel,2011,Developing,High,81.8,61,1,2.67,3793.16,98,70,63.4,1,94,7.39,94,0.1,33657.16,77658,1.2,1.1,0.883,15.8
Israel,2010,Developing,High,81.7,61,1,2.63,409.41,97,23,63,1,95,7.36,95,0.1,3661.99,76236,1.2,1.1,0.878,15.7
Israel,2009,Developing,High,81.5,63,1,2.55,508.66,98,5,62.6,1,96,7.46,96,0.1,27795.88,74856,1.2,1.1,0.876,15.6
Israel,2008,Developing,High,81,65,1,2.47,471.55,99,931,62.1,1,94,7.33,94,0.1,29657.44,7388,1.1,1.1,0.877,15.8
Israel,2007,Developing,High,84,68,1,2.33,4.35,99,539,61.6,1,95,7.37,95,0.1,258.64,7181,1.1,1.1,0.872,15.7
Israel,2006,Developing,High,84,68,1,2.23,33.59,96,9,61.1,1,94,7.38,95,0.1,2195.18,7537,1.1,1.1,0.87,15.7
Israel,2005,Developing,High,80,71,1,2.41,250.93,96,2,6.6,1,95,7.44,93,0.1,2611.18,6931,1.1,1.1,0.866,15.8
Israel,2004,Developing,High,81,69,1,2.23,1895.34,99,116,6.1,1,95,7.35,95,0.1,19888.17,689,1.1,1.1,0.863,15.9
Italy,2014,Developed,High,82.5,57,2,7.56,4831.64,95,0,63.1,2,95,9.25,95,0.1,35396.67,678914,0.6,0.6,0.877,16.3
Italy,2013,Developed,High,82.3,58,2,7.35,483.19,96,0,62.6,2,96,9.22,96,0.1,3537.27,6233948,0.5,0.6,0.876,16.5
Italy,2012,Developed,High,82,6,2,7.49,4793.9,96,376,62.1,2,96,9.28,97,0.1,34814.12,59539717,0.5,0.6,0.877,16.6
Italy,2011,Developed,High,82,6,2,6.98,5439.69,96,5189,61.5,2,96,9.27,96,0.1,38334.68,59379449,0.5,0.5,0.872,16.4
Italy,2010,Developed,High,81.8,6,2,6.95,5219.67,96,372,61,2,96,9.42,96,0.1,35849.37,59277417,0.5,0.5,0.869,16.4
Italy,2009,Developed,High,81.6,61,2,7.25,5243.32,96,351,6.5,2,96,9.41,96,0.1,36976.85,5995365,0.5,0.5,0.868,16.3
Italy,2008,Developed,High,81.5,61,2,7.96,66.38,96,1617,59.9,2,96,8.89,96,0.1,464.18,58826731,0.5,0.5,0.866,16.3
Italy,2007,Developed,High,81.3,63,2,8.37,5228.82,97,321,59.4,2,97,8.48,97,0.1,37698.79,5843831,0.5,0.5,0.862,16.1
Italy,2006,Developed,High,81.2,65,2,8.44,473.19,96,439,58.8,2,97,8.82,96,0.1,3341.75,58143979,0.5,0.5,0.856,16
Italy,2005,Developed,High,88,66,2,8.65,4506.26,96,135,58.2,2,97,8.71,95,0.1,31959.26,57969484,0.5,0.5,0.851,15.8
Italy,2004,Developed,High,89,66,2,8.98,4270.91,96,599,57.6,3,97,8.49,94,0.1,31174.56,57685327,0.5,0.5,0.846,15.6
Jamaica,2014,Developing,High,75.8,133,1,3.83,427.31,92,0,53.5,1,93,5.36,92,0.5,4855.74,286287,1.8,1.7,0.727,12.8
Jamaica,2013,Developing,High,75.6,136,1,3.79,5.46,93,0,52.7,1,86,5.91,93,0.6,56.14,285187,1.8,1.7,0.727,12.8
Jamaica,2012,Developing,High,75.3,138,1,3.65,37.17,96,0,52,1,96,5.66,96,0.5,521.33,284992,1.8,1.7,0.725,12.8
Jamaica,2011,Developing,High,75.2,139,1,3.58,33.18,92,1,51.2,1,93,5.21,92,0.6,513.55,2829493,1.8,1.7,0.722,12.8
Jamaica,2010,Developing,High,75,138,1,3.55,396.63,94,0,5.5,1,94,5.3,94,0.5,4682.73,281721,1.8,1.7,0.721,12.7
Jamaica,2009,Developing,High,74.7,142,1,3.33,235.71,9,0,49.7,1,9,5.16,9,0.6,4293.38,28482,1.9,1.7,0.721,12.7
Jamaica,2008,Developing,High,74.5,145,1,3.51,31.77,92,2,48.9,1,91,5.4,91,0.4,492.49,279122,1.9,1.7,0.718,12.6
Jamaica,2007,Developing,High,74.2,148,1,3.64,25.62,92,0,48.1,1,94,4.87,92,0.9,462.52,2775467,1.9,1.7,0.714,12.5
Jamaica,2006,Developing,High,74,15,1,3.63,194.09,97,0,47.2,1,99,4.22,95,1.5,4313.17,276279,1.9,1.7,0.709,12.5
Jamaica,2005,Developing,High,73.5,161,1,3.59,16.98,99,0,46.3,1,99,4.7,99,1.9,482.25,2744673,1.9,1.7,0.706,12.4
Jamaica,2004,Developing,High,73.3,165,1,3.67,192.32,98,0,45.4,1,97,4.8,98,2.3,3719.97,2728777,1.9,1.8,0.689,11.1
Jordan,2014,Developing,High,74,113,4,0.41,63.88,98,20,64.8,4,98,7.45,98,0.1,466.95,88936,3.9,3.9,0.737,13.1
Jordan,2013,Developing,High,73.9,114,4,0.4,546.62,98,120,64,4,98,7.23,98,0.1,3992.87,8413464,3.9,3.9,0.737,13.1
Jordan,2012,Developing,High,73.7,115,4,0.41,67.7,98,3,63.2,4,98,8,98,0.1,387.75,7992573,3.9,3.9,0.735,12.9
Jordan,2011,Developing,High,73.6,116,4,0.43,68.87,98,0,62.4,4,98,8.39,98,0.1,387.32,7574943,3.8,3.9,0.737,13.1
Jordan,2010,Developing,High,73.4,117,4,0.51,715.97,98,0,61.7,4,98,8.42,98,0.1,3679.19,718239,3.8,3.8,0.739,13.2
Jordan,2009,Developing,High,73.3,118,4,0.59,668.74,98,0,6.9,4,98,9.54,98,0.1,3492.14,6821116,3.8,3.8,0.742,13.6
Jordan,2008,Developing,High,73.1,119,4,0.61,535.28,97,2,6.1,4,98,8.78,97,0.1,3385.7,6489822,3.8,3.8,0.739,13.6
Jordan,2007,Developing,High,73,12,4,0.6,373.26,98,41,59.3,4,98,8.35,98,0.1,2762.86,6193191,3.8,3.8,0.736,13.6
Jordan,2006,Developing,High,72.8,121,4,0.59,313.36,98,1,58.6,4,98,8.8,98,0.1,2537.35,5934232,3.9,3.8,0.733,13.7
Jordan,2005,Developing,High,72.4,127,4,0.55,27.44,95,28,57.8,4,95,8.88,95,0.1,223.84,5714111,3.9,3.8,0.73,13.8
